Sale_Price,Gr_Liv_Area,Year_Built,Year_Sold,Neighborhood,Bedroom_AbvGr,Full_Bath
144000,1056,1980,2010,Old_Town,0,0
80400,1844,1900,2010,Old_Town,3,1
96500,1140,1910,2010,Old_Town,3,1
109500,936,1920,2010,Old_Town,2,1
115000,1028,1927,2010,Old_Town,2,1
143000,1347,1957,2010,Old_Town,3,1
107400,1605,1915,2010,Old_Town,3,2
80000,747,1945,2010,Old_Town,2,1
119000,804,1940,2010,Old_Town,2,1
130000,1316,1929,2010,Old_Town,3,1
119000,1251,1938,2010,Old_Town,3,1
129000,1633,1948,2010,Old_Town,3,1
100000,1245,1920,2010,Old_Town,3,1
12789,832,1923,2010,Old_Town,2,1
105900,720,1928,2010,Old_Town,2,1
150000,1566,1900,2010,Old_Town,3,2
139000,1652,1915,2010,Old_Town,4,2
240000,2268,1890,2010,Old_Town,3,3
76500,2256,1910,2010,Old_Town,4,2
149700,1236,1957,2010,Old_Town,2,1
125500,1363,1910,2010,Old_Town,3,1
122500,2290,1885,2010,Old_Town,4,2
140750,1470,1922,2010,Old_Town,2,1
109500,1068,1923,2010,Old_Town,2,1
140000,1710,1921,2010,Old_Town,3,2
149500,1962,1915,2010,Old_Town,4,1
159900,1560,1912,2010,Old_Town,3,1
122000,1324,1920,2010,Old_Town,3,1
140000,1812,1900,2010,Old_Town,4,2
245350,1694,2008,2010,College_Creek,3,2
206000,1208,2006,2010,College_Creek,2,2
198900,1226,2009,2010,College_Creek,3,2
187000,1222,2010,2010,College_Creek,2,2
159000,965,1996,2010,College_Creek,2,1
191000,1692,1997,2010,College_Creek,3,2
200500,1682,1998,2010,College_Creek,3,2
150000,1026,1977,2010,College_Creek,3,1
161750,1392,1977,2010,College_Creek,3,1
128200,894,1976,2010,College_Creek,3,1
127000,876,1972,2010,College_Creek,3,1
318000,1978,2003,2010,College_Creek,3,2
272000,1601,2001,2010,College_Creek,3,2
237000,1829,2003,2010,College_Creek,3,2
240000,2098,1997,2010,College_Creek,4,2
224900,1661,1998,2010,College_Creek,3,2
143750,848,2003,2010,College_Creek,1,1
143000,848,2004,2010,College_Creek,1,1
232000,1668,2003,2010,College_Creek,3,2
213000,1484,2004,2010,College_Creek,3,2
185500,1414,2004,2010,College_Creek,3,2
95000,1699,1900,2009,Old_Town,3,2
99900,792,1958,2009,Old_Town,2,1
135000,1656,1916,2009,Old_Town,3,2
149000,1352,1939,2009,Old_Town,4,2
114000,1039,1900,2009,Old_Town,2,1
109500,792,1924,2009,Old_Town,2,1
125000,1078,1925,2009,Old_Town,3,1
142900,2377,1915,2009,Old_Town,3,2
156500,1690,1910,2009,Old_Town,4,2
59000,599,1940,2009,Old_Town,2,1
105000,1374,1920,2009,Old_Town,2,1
106000,846,1920,2009,Old_Town,2,1
78500,725,1890,2009,Old_Town,1,1
115000,1224,1926,2009,Old_Town,3,1
110000,1230,1910,2009,Old_Town,2,1
128900,1378,1935,2009,Old_Town,3,1
103500,1944,1910,2009,Old_Town,4,2
66500,1131,1941,2009,Old_Town,3,1
130000,1306,1910,2009,Old_Town,3,1
129000,1464,1910,2009,Old_Town,3,2
150000,1558,1939,2009,Old_Town,3,1
107500,2372,1892,2009,Old_Town,4,2
94550,1701,1920,2009,Old_Town,4,2
124500,1960,1952,2009,Old_Town,4,2
135000,1389,1946,2009,Old_Town,3,1
103000,1447,1910,2009,Old_Town,3,1
93000,936,1953,2009,Old_Town,2,1
129500,1328,1950,2009,Old_Town,3,1
93000,1387,1954,2009,Old_Town,3,2
80000,861,1920,2009,Old_Town,2,1
45000,612,1940,2009,Old_Town,1,1
37900,968,1910,2009,Old_Town,2,1
91300,886,1938,2009,Old_Town,2,1
99500,792,1923,2009,Old_Town,2,1
113000,1452,1920,2009,Old_Town,2,2
87500,1510,1910,2009,Old_Town,3,2
110000,1284,1947,2009,Old_Town,2,1
106000,2138,1898,2009,Old_Town,2,2
265979,2640,1880,2009,Old_Town,4,1
160000,2007,1900,2009,Old_Town,3,2
119000,1288,1917,2009,Old_Town,3,1
168000,1742,1882,2009,Old_Town,4,1
58500,816,1910,2009,Old_Town,2,1
143000,1482,1920,2009,Old_Town,3,1
85000,1022,1910,2009,Old_Town,2,1
124900,1869,1890,2009,Old_Town,2,1
119000,1480,1920,2009,Old_Town,3,1
146500,1521,1910,2009,Old_Town,4,1
155000,1768,1915,2009,Old_Town,3,2
155000,1826,1915,2009,Old_Town,4,1
179900,1944,1915,2009,Old_Town,3,2
104000,2229,1912,2009,Old_Town,5,1
62500,2128,1922,2009,Old_Town,4,2
123000,1427,1915,2009,Old_Town,3,1
97500,1864,1902,2009,Old_Town,6,2
323262,1680,2009,2009,College_Creek,1,1
297000,1718,2007,2009,College_Creek,3,2
295493,1630,2008,2009,College_Creek,3,2
332000,1720,2008,2009,College_Creek,3,2
239900,1468,2008,2009,College_Creek,3,2
212000,1768,2007,2009,College_Creek,3,2
272500,1838,2007,2009,College_Creek,3,2
239000,1800,2007,2009,College_Creek,2,2
220000,1604,2006,2009,College_Creek,3,2
200000,1290,2007,2009,College_Creek,2,2
221800,1254,2008,2009,College_Creek,2,2
194500,1232,2007,2009,College_Creek,2,2
237000,1498,2005,2009,College_Creek,3,2
173000,1422,2005,2009,College_Creek,3,2
152000,1040,1996,2009,College_Creek,3,1
143000,990,1994,2009,College_Creek,3,1
231500,1764,1997,2009,College_Creek,3,2
212000,1661,1996,2009,College_Creek,3,2
207000,1463,1998,2009,College_Creek,3,2
145000,1097,1994,2009,College_Creek,3,1
138000,990,1994,2009,College_Creek,3,1
197900,1779,1998,2009,College_Creek,3,2
204000,1501,1999,2009,College_Creek,3,2
192000,1431,1999,2009,College_Creek,3,2
200000,1772,1998,2009,College_Creek,3,2
195000,1660,2002,2009,College_Creek,3,2
227000,1573,2002,2009,College_Creek,3,2
230000,1840,2001,2009,College_Creek,3,2
187100,1430,2001,2009,College_Creek,3,2
203000,1444,2002,2009,College_Creek,3,2
201000,1492,2001,2009,College_Creek,3,2
124000,1040,1978,2009,College_Creek,3,2
140000,907,1978,2009,College_Creek,3,1
134900,914,1979,2009,College_Creek,2,1
150500,1040,1977,2009,College_Creek,3,2
136500,864,1978,2009,College_Creek,3,1
143500,1268,1977,2009,College_Creek,3,1
133500,864,1972,2009,College_Creek,3,1
123000,894,1972,2009,College_Creek,2,1
133900,768,1972,2009,College_Creek,2,1
133000,768,1972,2009,College_Creek,2,1
250000,1611,2002,2009,College_Creek,3,2
254750,2184,2003,2009,College_Creek,4,2
236500,1788,2001,2009,College_Creek,3,2
261500,1872,2001,2009,College_Creek,3,2
313000,2153,2000,2009,College_Creek,3,2
198500,1725,2002,2009,College_Creek,3,2
211000,1870,2001,2009,College_Creek,3,2
220000,1513,1999,2009,College_Creek,2,2
203000,1504,1996,2009,College_Creek,3,2
279500,1828,2002,2009,College_Creek,3,2
210000,1417,1997,2009,College_Creek,3,2
219500,2034,1997,2009,College_Creek,3,2
191000,1716,1996,2009,College_Creek,2,2
178000,1212,2001,2009,College_Creek,3,2
213000,1630,2000,2009,College_Creek,3,2
144000,848,2003,2009,College_Creek,1,1
140000,848,2003,2009,College_Creek,1,1
293200,1602,2007,2009,College_Creek,3,2
190000,1728,2004,2009,College_Creek,3,2
190000,1500,2004,2009,College_Creek,3,2
173500,1476,2005,2009,College_Creek,3,2
170000,1396,2007,2009,College_Creek,3,2
89900,869,1948,2008,Old_Town,1,1
114000,1159,1925,2008,Old_Town,3,1
86900,672,1940,2008,Old_Town,2,1
139000,1436,1922,2008,Old_Town,3,1
106250,1294,1900,2008,Old_Town,3,2
143000,1133,2008,2008,Old_Town,3,1
73000,764,1925,2008,Old_Town,2,1
157500,1539,1904,2008,Old_Town,3,2
122600,1323,1948,2008,Old_Town,3,1
111000,1360,1910,2008,Old_Town,2,1
256000,2792,1920,2008,Old_Town,5,2
64000,672,1940,2008,Old_Town,2,1
139500,1456,1915,2008,Old_Town,4,1
118000,1594,1910,2008,Old_Town,3,2
200000,2082,2003,2008,Old_Town,3,2
119164,1656,1940,2008,Old_Town,2,2
122250,1740,1920,2008,Old_Town,2,1
120000,1027,1920,2008,Old_Town,2,1
155000,1436,1940,2008,Old_Town,3,2
78000,899,1910,2008,Old_Town,2,1
95000,1080,1890,2008,Old_Town,3,1
115000,789,1948,2008,Old_Town,2,1
147000,1122,1948,2008,Old_Town,2,1
140000,1499,1946,2008,Old_Town,3,1
46500,407,1946,2008,Old_Town,1,1
112500,928,1957,2008,Old_Town,3,1
107900,901,1954,2008,Old_Town,2,1
65000,1588,1949,2008,Old_Town,5,2
295000,3493,1880,2008,Old_Town,3,3
139500,1627,1900,2008,Old_Town,4,2
153900,1416,1915,2008,Old_Town,4,1
132000,1450,1920,2008,Old_Town,3,1
98000,1344,1916,2008,Old_Town,4,1
114000,1017,1900,2008,Old_Town,2,1
130000,2350,1920,2008,Old_Town,4,2
129500,2058,1917,2008,Old_Town,3,1
129400,1540,1905,2008,Old_Town,3,1
161000,1378,1928,2008,Old_Town,3,2
163000,1912,1905,2008,Old_Town,3,2
128000,1484,1914,2008,Old_Town,3,2
122000,2358,1872,2008,Old_Town,4,2
116900,1111,1926,2008,Old_Town,2,1
325000,2775,1893,2008,Old_Town,3,3
55000,1086,1920,2008,Old_Town,2,1
184000,2495,1890,2008,Old_Town,5,2
110000,984,1959,2008,Old_Town,2,1
131500,1795,1954,2008,Old_Town,4,2
97000,882,1956,2008,Old_Town,2,1
115500,1093,1958,2008,Old_Town,2,1
123500,1902,1923,2008,Old_Town,4,2
129900,1774,1931,2008,Old_Town,2,2
160000,1984,1910,2008,Old_Town,5,2
161000,1666,1925,2008,Old_Town,3,1
127500,1609,1910,2008,Old_Town,3,1
125000,825,1955,2008,Old_Town,2,1
79900,1198,1920,2008,Old_Town,4,1
177439,1356,2007,2008,College_Creek,3,2
248500,1615,2007,2008,College_Creek,3,2
475000,2276,2008,2008,College_Creek,3,2
395039,1766,2008,2008,College_Creek,3,2
155000,990,1994,2008,College_Creek,3,1
144000,1099,1995,2008,College_Creek,3,1
145000,990,1994,2008,College_Creek,3,1
226001,1418,1997,2008,College_Creek,3,2
215700,1771,1997,2008,College_Creek,3,2
207500,1652,2000,2008,College_Creek,3,2
193000,1790,1999,2008,College_Creek,3,2
188000,1724,1998,2008,College_Creek,3,2
191000,1479,1999,2008,College_Creek,3,2
221000,1494,2002,2008,College_Creek,3,2
231500,1792,2001,2008,College_Creek,3,2
235000,1823,2000,2008,College_Creek,3,2
223500,1786,2001,2008,College_Creek,3,2
130250,938,1975,2008,College_Creek,3,1
149900,985,1977,2008,College_Creek,3,2
158000,1174,1978,2008,College_Creek,3,1
147000,1026,1978,2008,College_Creek,3,1
143195,1076,1975,2008,College_Creek,3,1
163000,1558,1975,2008,College_Creek,2,2
110000,924,1975,2008,College_Creek,3,1
127000,864,1972,2008,College_Creek,3,1
124900,780,1972,2008,College_Creek,2,1
230000,1795,2002,2008,College_Creek,3,2
237000,2031,2002,2008,College_Creek,3,2
235000,1865,2000,2008,College_Creek,3,2
230500,2161,2001,2008,College_Creek,3,2
230000,1852,1999,2008,College_Creek,3,2
222500,2031,1998,2008,College_Creek,3,2
287000,2263,2001,2008,College_Creek,3,2
274000,1947,2001,2008,College_Creek,3,2
300000,1786,2002,2008,College_Creek,3,2
255900,2290,2002,2008,College_Creek,4,2
224900,1768,2003,2008,College_Creek,3,2
240000,2327,2003,2008,College_Creek,4,2
183000,1640,2003,2008,College_Creek,3,2
207000,1764,1999,2008,College_Creek,3,2
210000,1908,1994,2008,College_Creek,4,2
136500,848,2003,2008,College_Creek,1,1
145000,848,2004,2008,College_Creek,1,1
208900,1493,1997,2008,College_Creek,3,2
185000,1838,1997,2008,College_Creek,2,2
214000,1536,2002,2008,College_Creek,3,2
208500,1710,2003,2008,College_Creek,3,2
186500,1445,2004,2008,College_Creek,3,2
210000,1436,2004,2008,College_Creek,3,2
185900,1582,2004,2008,College_Creek,3,2
179900,1234,2007,2008,College_Creek,3,2
218836,1564,2007,2008,College_Creek,3,2
193000,1361,2007,2008,College_Creek,3,2
189000,1456,2005,2008,College_Creek,3,2
149300,848,2004,2008,College_Creek,1,1
141000,848,2004,2008,College_Creek,1,1
149000,848,2004,2008,College_Creek,1,1
144500,848,2004,2008,College_Creek,1,1
112500,924,1952,2007,Old_Town,2,1
138000,1544,1890,2007,Old_Town,3,2
109000,1034,1940,2007,Old_Town,2,1
103200,882,1956,2007,Old_Town,1,1
128500,1281,1925,2007,Old_Town,1,2
64500,968,1927,2007,Old_Town,4,2
148000,1534,1895,2007,Old_Town,3,1
86000,691,1920,2007,Old_Town,2,1
103000,960,1926,2007,Old_Town,2,1
132000,1432,1910,2007,Old_Town,2,2
127500,1296,1927,2007,Old_Town,3,1
89500,1022,1922,2007,Old_Town,2,1
140000,936,1980,2007,Old_Town,2,1
99900,967,1920,2007,Old_Town,2,1
100000,1047,1885,2007,Old_Town,2,1
130000,1072,1940,2007,Old_Town,2,1
135000,1174,1900,2007,Old_Town,2,1
120000,1183,1948,2007,Old_Town,2,1
89471,1131,1937,2007,Old_Town,2,1
85000,1141,1900,2007,Old_Town,3,1
108500,960,1920,2007,Old_Town,2,1
137000,1798,1900,2007,Old_Town,4,2
110500,866,1945,2007,Old_Town,2,1
100000,968,1923,2007,Old_Town,2,1
184900,1772,1910,2007,Old_Town,3,2
145000,1642,1927,2007,Old_Town,4,1
125000,1472,1925,2007,Old_Town,3,1
114000,1232,1910,2007,Old_Town,3,1
90000,2337,1900,2007,Old_Town,5,2
144100,1650,1910,2007,Old_Town,3,2
117500,2210,1880,2007,Old_Town,5,2
124500,1358,1930,2007,Old_Town,3,1
185000,2454,1879,2007,Old_Town,3,2
133900,2291,1910,2007,Old_Town,4,2
152000,1616,1926,2007,Old_Town,3,2
153500,1559,1948,2007,Old_Town,2,1
159500,2554,1890,2007,Old_Town,3,1
87000,1248,1930,2007,Old_Town,2,1
104500,968,1956,2007,Old_Town,2,1
110000,1382,1949,2007,Old_Town,1,2
200000,2264,1918,2007,Old_Town,4,2
140000,1344,1929,2007,Old_Town,3,1
136000,2526,1916,2007,Old_Town,5,2
113000,1173,1901,2007,Old_Town,3,2
117000,1214,1901,2007,Old_Town,2,1
128500,1382,1941,2007,Old_Town,2,1
122000,1889,1910,2007,Old_Town,4,1
87000,840,1930,2007,Old_Town,3,1
383970,2696,2007,2007,College_Creek,4,2
424870,2828,2006,2007,College_Creek,4,3
250000,1651,2007,2007,College_Creek,3,2
360000,2140,2006,2007,College_Creek,3,2
279500,1494,2006,2007,College_Creek,3,2
200141,1316,2007,2007,College_Creek,3,2
246500,1651,2007,2007,College_Creek,3,2
276000,2574,2007,2007,College_Creek,3,2
203000,1274,2005,2007,College_Creek,3,2
155835,1456,2006,2007,College_Creek,3,2
194000,1240,2006,2007,College_Creek,2,2
195400,1208,2007,2007,College_Creek,2,2
217000,1546,2005,2007,College_Creek,3,2
212999,1500,2006,2007,College_Creek,3,2
175900,1270,2005,2007,College_Creek,2,2
191000,1795,2005,2007,College_Creek,3,2
176432,1314,2006,2007,College_Creek,3,2
139500,1022,1994,2007,College_Creek,3,1
126000,990,1994,2007,College_Creek,3,1
177500,1200,1995,2007,College_Creek,3,2
175000,1308,1997,2007,College_Creek,3,2
211000,1796,1998,2007,College_Creek,3,2
146000,990,1994,2007,College_Creek,3,1
147900,1097,1996,2007,College_Creek,3,1
123600,990,1994,2007,College_Creek,3,1
204750,1786,1997,2007,College_Creek,3,2
235500,1873,1999,2007,College_Creek,3,2
217000,1753,1998,2007,College_Creek,3,2
190550,1690,2001,2007,College_Creek,3,2
217500,1842,2000,2007,College_Creek,3,2
226000,1479,2003,2007,College_Creek,3,2
180000,1668,2003,2007,College_Creek,3,2
131000,894,1974,2007,College_Creek,3,1
153500,1025,1976,2007,College_Creek,3,2
160000,1009,1977,2007,College_Creek,3,2
134900,1040,1977,2007,College_Creek,3,1
130000,907,1977,2007,College_Creek,3,1
120000,879,1975,2007,College_Creek,3,1
112500,882,1972,2007,College_Creek,3,1
122000,969,1975,2007,College_Creek,3,1
127000,864,1972,2007,College_Creek,3,1
117000,875,1972,2007,College_Creek,3,1
305900,2000,2004,2007,College_Creek,3,2
228500,2169,2002,2007,College_Creek,3,2
270000,1673,2000,2007,College_Creek,3,2
192000,1459,2002,2007,College_Creek,3,2
213000,1932,2003,2007,College_Creek,3,2
200000,1729,2002,2007,College_Creek,3,2
267000,2452,1998,2007,College_Creek,4,2
228000,1592,1994,2007,College_Creek,3,2
275000,2439,2001,2007,College_Creek,4,2
211000,1992,1996,2007,College_Creek,3,2
285000,1668,2002,2007,College_Creek,3,2
240000,2090,1995,2007,College_Creek,3,2
131500,848,2003,2007,College_Creek,1,1
246900,1341,1999,2007,College_Creek,1,1
219500,1928,2003,2007,College_Creek,4,2
185000,1337,2003,2007,College_Creek,3,2
179400,1476,2007,2007,College_Creek,3,2
213500,1797,2006,2007,College_Creek,3,2
179600,1422,2004,2007,College_Creek,3,2
173500,1190,2005,2007,College_Creek,2,2
167840,1330,2006,2007,College_Creek,3,2
168675,1491,2006,2007,College_Creek,3,2
167000,1536,2005,2007,College_Creek,3,2
180000,2640,1925,2006,Old_Town,5,2
112000,1310,1924,2006,Old_Town,2,2
99800,713,1930,2006,Old_Town,2,1
117000,833,1954,2006,Old_Town,2,1
108480,1073,1921,2006,Old_Town,2,1
86900,720,1900,2006,Old_Town,1,1
120000,1130,1920,2006,Old_Town,2,1
155500,1595,1915,2006,Old_Town,3,2
80000,1760,1910,2006,Old_Town,4,1
105000,1214,1915,2006,Old_Town,3,1
160000,2414,1900,2006,Old_Town,3,2
170000,1466,1936,2006,Old_Town,3,2
169000,2014,1900,2006,Old_Town,5,2
107000,1328,1925,2006,Old_Town,3,1
135000,1668,1948,2006,Old_Town,3,1
111500,1657,1920,2006,Old_Town,4,1
156500,1416,1900,2006,Old_Town,3,1
178000,1641,1925,2006,Old_Town,3,1
139900,1428,1900,2006,Old_Town,4,1
105000,1004,1930,2006,Old_Town,2,1
110000,813,1930,2006,Old_Town,2,1
111500,1951,1900,2006,Old_Town,4,2
108000,1032,1924,2006,Old_Town,2,1
111500,844,1925,2006,Old_Town,2,1
124000,1750,1880,2006,Old_Town,3,1
105000,864,1950,2006,Old_Town,2,1
116000,1118,1920,2006,Old_Town,2,1
96900,1376,1905,2006,Old_Town,2,1
135500,960,1955,2006,Old_Town,3,1
139000,1566,1924,2006,Old_Town,5,1
61500,492,1921,2006,Old_Town,1,1
120000,1182,1945,2006,Old_Town,3,1
126175,1163,1955,2006,Old_Town,3,1
64000,840,1920,2006,Old_Town,2,1
137000,1928,1910,2006,Old_Town,4,2
87000,1774,1900,2006,Old_Town,4,2
163000,1768,1914,2006,Old_Town,2,1
155000,2104,1910,2006,Old_Town,5,2
79000,1440,1900,2006,Old_Town,3,1
144000,1690,1916,2006,Old_Town,3,1
114504,1368,1910,2006,Old_Town,3,1
157000,1762,1920,2006,Old_Town,4,1
125000,1200,1923,2006,Old_Town,4,1
475000,3608,1892,2006,Old_Town,4,2
93500,1248,1920,2006,Old_Town,2,2
125000,960,1958,2006,Old_Town,3,1
119900,1118,1939,2006,Old_Town,3,1
110500,1103,1925,2006,Old_Town,2,1
220000,2486,1962,2006,Old_Town,5,2
117000,1635,1910,2006,Old_Town,2,1
52500,693,1941,2006,Old_Town,2,1
229800,1876,2005,2006,College_Creek,3,2
183600,1208,2005,2006,College_Creek,2,2
194000,1220,2006,2006,College_Creek,2,2
193879,1294,2006,2006,College_Creek,2,2
221500,1614,2005,2006,College_Creek,3,2
204900,1498,2006,2006,College_Creek,2,2
239799,1962,2006,2006,College_Creek,3,2
233555,1846,2006,2006,College_Creek,3,2
260000,1734,2005,2006,College_Creek,3,2
294900,1590,2005,2006,College_Creek,2,2
209700,1809,2005,2006,College_Creek,3,2
225000,1614,2005,2006,College_Creek,3,2
181000,1596,2005,2006,College_Creek,3,2
148000,914,1996,2006,College_Creek,2,1
145000,1100,1996,2006,College_Creek,3,1
187000,1499,1995,2006,College_Creek,3,2
193000,1425,1998,2006,College_Creek,3,2
156000,990,1995,2006,College_Creek,3,1
235000,1525,2000,2006,College_Creek,3,2
217000,1494,1997,2006,College_Creek,3,2
214000,1588,1999,2006,College_Creek,3,2
196000,1749,1999,2006,College_Creek,3,2
217000,1779,1999,2006,College_Creek,3,2
200000,1861,2002,2006,College_Creek,3,2
192500,1776,2002,2006,College_Creek,3,2
205000,1541,2001,2006,College_Creek,3,2
132500,954,1976,2006,College_Creek,3,1
157500,1388,1977,2006,College_Creek,3,1
174000,1282,1978,2006,College_Creek,3,2
128500,971,1969,2006,College_Creek,3,1
128500,864,1972,2006,College_Creek,3,1
149900,894,1972,2006,College_Creek,3,1
119900,864,1972,2006,College_Creek,3,1
255000,1989,2002,2006,College_Creek,3,2
222000,1762,2002,2006,College_Creek,3,2
214000,1755,1999,2006,College_Creek,3,2
220000,1358,2002,2006,College_Creek,1,1
275000,1787,2001,2006,College_Creek,3,2
197000,1909,2002,2006,College_Creek,4,2
230000,1654,2002,2006,College_Creek,3,2
268500,2214,1999,2006,College_Creek,3,2
210900,2049,1996,2006,College_Creek,4,2
227000,1939,1998,2006,College_Creek,3,2
237000,1995,1995,2006,College_Creek,4,2
274300,2097,1998,2006,College_Creek,3,2
216837,1836,2004,2006,College_Creek,3,2
133000,848,2003,2006,College_Creek,1,1
155900,848,2004,2006,College_Creek,1,1
233230,1919,2006,2006,College_Creek,3,2
207000,1390,2003,2006,College_Creek,3,2
195000,1948,2004,2006,College_Creek,4,2
200000,1700,2003,2006,College_Creek,3,2
203160,1737,2006,2006,College_Creek,3,2
195800,1611,2005,2006,College_Creek,3,2
212900,1552,2005,2006,College_Creek,3,2
196500,1720,2004,2006,College_Creek,3,2
198000,1336,2005,2006,College_Creek,3,2
173900,1500,2005,2006,College_Creek,3,2
163990,1456,2005,2006,College_Creek,3,2
164990,1310,2005,2006,College_Creek,3,2
